Index,Title,Price,Square,Price_per_m2,Location,Link
1,"QUỸ CĂN NỘI BỘ LÂU DÀI - VIEW HỒ 2PN, 3PN RẺ HƠN 300 TRIỆU CHUNG CƯ GRAND SUNLAKE VĂN QUÁN","3,6 tỷ",91 m²,"39,56 tr/m²"," Hà Đông, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-van-quan-prj-grand-sunlake/doc-quyen-quy-gia-tot-nhat-du-an-view-cap-nhat-thang-02-2024-pr39153418
2,VINHOMES SMART CITY TÂY MỖ - BẢNG GIÁ MỚI NHẤT - CH STU 1.4 TỶ - 1N 2.4 TỶ - 2N 3.3 TỶ - 3N 4.3 TỶ,"56,8 triệu",1 m²,"56,8 tr/m²"," Nam Từ Liêm, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/-bang-gia-i-nhat-ch-stu-1-4-ty-1n-2-4-ty-2n-3-3-ty-3n-4-3-ty-pr39347021
3,"ĐỘC QUYỀN! QUỸ CĂN 3N NHỈNH 3TỶ 98M2 GRAND SUNLAKE VÀO TRƯỚC 700TR KÍ HỢP ĐỒNG, BAN CÔNG ĐN VIEW HỒ","3,3 tỷ",98 m²,"33,67 tr/m²"," Hà Đông, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-van-quan-prj-grand-sunlake/doc-quyen-quy-3n-nhinh-3ty-98m2-grandsunlake-vao-truoc-700tr-ki-hop-dong-ban-cong-dn-view-ho-pr39313938
4,"CHÍNH CHỦ CẦN BÁN CĂN HỘ 2 NGỦ 1 VỆ SINH FULL ĐỒ XỊN, SẴN SỔ KHÔNG VAY, GIAO DỊCH ĐƯỢC NGAY","2,07 tỷ",55 m²,"37,64 tr/m²"," Gia Lâm, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/chinh-chu-ban-2-ngu-1-ve-sinh-full-do-xin-san-so-kng-vay-giao-dich-duoc-ngay-pr39297002
5,BÁN LÔ NHÀ ĐẤT 670M2 CHÍNH CHỦ HÀ NỘI,10 tỷ,670 m²,"14,92 tr/m²"," Sóc Sơn, Hà Nội",https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-35-xa-hong-ky-1/ban-dat-670m2-chinh-chu-ha-noi-pr39315669?source=ad&adid=2368222
6,"LÔ GÓC SIÊU ĐẸP, GIÁ TỪ 37TR TẠI DỰ ÁN WISTERIA THUỘC PHÂN KHU HINODE ROYAL PARK. QUÀ TẶNG 11.5%",Giá thỏa thuận,115 m²,N/A," Hoài Đức, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-32-xa-di-trach-prj-chung-cu-the-wisteria/lo-goc-sieu-dep-gia-tu-37tr-tai-du-an-thuoc-phan-khu-hinode-royal-park-qua-tang-11-5-pr39282927
7,"TRỰC TIẾP CĐT CHUNG CƯ WISTERIA. 4,1 TỶ 3 PN. CHIẾT KHẤU 13%, QUÀ TẶNG 250 TRIỆU. HTLS 24 THÁNG","4,1 tỷ",82 m²,50 tr/m²," Hoài Đức, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-32-xa-di-trach-prj-hinode-royal-park/truc-tiep-cdt-wisteria-4-1-ty-3-pn-chiet-khau-13-qua-tang-250-trieu-htls-24-thang-pr39346193
8,"BÁN CHUNG CƯ CAO CẤP THE ZURICH, THANH TOÁN LINH HOẠT, VAY 70% KO LÃI SUẤT ĐẾN 2027. LH 0911 341 ***","4,94 tỷ",100 m²,"49,4 tr/m²"," Gia Lâm, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-da-ton-prj-the-zurich-vinhomes-ocean-park/ban-cao-cap-thanh-toan-linh-hoat-vay-70-ko-lai-suat-den-2027-lh-pr39345515
9,"TOP 10 CĂN HỘ CÓ GIÁ BÁN RẺ NHẤT TẠI DỰ ÁN KHAI SƠN CITY, QUỸ CĂN ĐẸP, GIÁ CHỈ TỪ 4 TỶ/CĂN",4 tỷ,90 m²,"44,44 tr/m²"," Long Biên, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-ngoc-thuy-prj-khai-son-city/top-10-co-gia-ban-tot-nhat-tai-du-an-quy-dep-gia-chi-tu-4-ty-pr39330963
10,"HÀNG HIẾM LÔ GÓC TẦNG CAO VIEW HỒ, CÔNG VIÊN TRUNG TÂM KHAI SƠN CITY!","7,5 tỷ","96,7 m²","77,56 tr/m²"," Long Biên, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-ngoc-thuy-prj-khai-son-city/hang-hiem-lo-goc-tang-cao-view-cong-vien-trung-tam-city-pr39347070
